id,created_at,text
1122092722050019328,2019-04-27 10:58:47,RT @yolandaharrisTV: And look who’s ready to @10TVCommit2BFit! @MollyBrewer10TV rode in on a #birdscooter and she’s looks ready to run this…
1122088394861969409,2019-04-27 10:41:35,RT @yolandaharrisTV: And look who’s ready to @10TVCommit2BFit! @MollyBrewer10TV rode in on a #birdscooter and she’s looks ready to run this…
1122087311779553280,2019-04-27 10:37:17,And look who’s ready to @10TVCommit2BFit! @MollyBrewer10TV rode in on a #birdscooter and she’s looks ready to run t… https://t.co/0gLEy4mPqV
1121870071075356674,2019-04-26 20:14:02,"@TylerBryant14 #Birdscooter I enjoyed the ride, just not the landing"
1121404392958304256,2019-04-25 13:23:36,"No #birdscooter around but the walk into work is nice @ Columbia, Missouri https://t.co/oJcYNglHNB"
1121147292407484416,2019-04-24 20:21:59,My dumbass spent an unnecessary $10 on a #BirdScooter smh
1120830986017738752,2019-04-23 23:25:05,RT @VermontPrepper: Electric scooter riding in San Diego - bugout capable? #bugout #shtf #scooter #electricscooter #apocalypse #preppjng #p…
1120826606715412483,2019-04-23 23:07:41,Electric scooter riding in San Diego - bugout capable? #bugout #shtf #scooter #electricscooter #apocalypse… https://t.co/5F6zE2RBAU
1120691088811909120,2019-04-23 14:09:11,So #JacksonBluePit and I went for a walk this morning before we get loaded and I found a #bird. I can’t help but la… https://t.co/CF0H7Jc1Dk
1120493591296729089,2019-04-23 01:04:24,Just witnessed a man take his bike apart into 3 pieces &amp; strap it to his backpack.  Then rode off on a #birdscooter #seenitall
1120477205501444096,2019-04-22 23:59:17,The Scooter Economy — An Insider’s Perspective - from one city to 100 in one year; + 100 campuses #rapidadoption… https://t.co/5EdxLerr2M
1120263590060146688,2019-04-22 09:50:28,"RT @jfreksodiputro: Hey @ASU students! Have you or anyone you know been injured by a #BirdScooter, #LimeScooter, or any other electric scoo…"
1119839109181083650,2019-04-21 05:43:43,RT @estima7: 공유 전동스쿠터의 미래는? https://t.co/PHbrRX4xsk 마크 수스터가 쓴 The Truth About the Scooter Economy – An Insider’s Perspective라는 글을 읽고 메모. ht…
1119772903493345280,2019-04-21 01:20:39,What if you could hire one of these like #uber or #lyft? Would beat a #limescooter or #birdscooter. It could hop ov… https://t.co/f4opsqlplu
1119633079763554304,2019-04-20 16:05:02,공유 전동스쿠터의 미래는? https://t.co/JIDhzmtSP0
1119609929461972992,2019-04-20 14:33:03,공유 전동스쿠터의 미래는? https://t.co/PHbrRX4xsk 마크 수스터가 쓴 The Truth About the Scooter Economy – An Insider’s Perspective라는 글… https://t.co/OzIo7qrQ0J
1119578400551776257,2019-04-20 12:27:46,RT @Siftedeu: Scooter mania is sweeping across Europe and we compare scooter startups: @voiscooters @TargetGlobalVC @BirdRide @limebike @we…
1119290489650286595,2019-04-19 17:23:42,"Pre-fuck shenanigans.

#bird #birdscooter #ebony #interracial #pussytester #blackgirl #cumbucket #foreplay… https://t.co/bjj4UTPFez"
1119087449370587137,2019-04-19 03:56:54,@BirdRide Did you bribe @AlexandriaVAGov to make this an acceptable parking spot? Do you encourage your stupid ride… https://t.co/JF22vBVcGZ
