id,created_at,text
1122197639536058368,2019-04-27 17:55:41,RT @iheartmindy: @GodLovesUSA1 My kingdom to see a 300 lb Walmart land whale go plowing through them all in a Rascal scooter....
1122197577720565760,2019-04-27 17:55:26,RT @Armie_Strong: When the Bird scooter hit your shin https://t.co/qQYADq4nxY
1122197546594705410,2019-04-27 17:55:19,probablemente scooter sea el nuevo manager de demi y la verdad q es momento de brindar https://t.co/iLCvo7B9gU
1122197348858380288,2019-04-27 17:54:32,"RT @remscIouds: ariana, justin and scooter about to make a number one collab in the studio  https://t.co/o3Bo88SV1j"
1122197336673771520,2019-04-27 17:54:29,"Gas is $4.39 in pedro now , don’t mind me when you see me riding a scooter"
1122197287680266243,2019-04-27 17:54:17,"@GirlGrafter @TfL @SadiqKhan @Councillorsuzie If you look at your journey times through London, I used to ride a sc… https://t.co/buza29crR7"
1122197269678317568,2019-04-27 17:54:13,"RT @CaravansRepair: So 2019, a pitch invasion at brisbane road involving a mobility scooter. #LOFC  #NationalLeague https://t.co/JKR9VoBrEc"
1122197210026766336,2019-04-27 17:53:58,@mailqoals I have donut cycle bath tub neon green scooter
1122197183036633089,2019-04-27 17:53:52,RT @CMONPUDDlN: i cant wait to see scooter’s success with demi... phil is gonna cry  https://t.co/6D6yCNlAfW
1122197119379677185,2019-04-27 17:53:37,"RT @Bleifux: Radiosender, die Nachrichten mit Musik untermalen. Lasst es doch gleich von Scooter vorsingen!"
1122197003977535488,2019-04-27 17:53:09,@Sacks5thReef Congrats now an Eagle!!!
1122196945882185728,2019-04-27 17:52:55,U would av bought the scooter inside those 50 Naira popcorn for them.....they didn't specify https://t.co/8OOEVLJwUg
1122196907940622336,2019-04-27 17:52:46,@slopfunkdust That's so far on my scooter hahah
1122196879582740480,2019-04-27 17:52:40,"And yes it’s invariably an overweight, smelly white dude with a gross ass beard and a few missing teeth that will h… https://t.co/09hflhtSfZ"
1122196706953695232,2019-04-27 17:51:59,RT @justindotnet: It’s Earth Day in Alexandria! A great crowd to celebrate our efforts to improve environmental sustainability and battle c…
1122196638238412803,2019-04-27 17:51:42,"RT @OnwardState: JUST IN: With the 138th pick in the 2019 NFL Draft, the Philadelphia Eagles select... Shareef Miller! https://t.co/bP1TZlX…"
1122196471443378177,2019-04-27 17:51:02,@oOoOLANA Actually no joke my friend broke his leg on a scooter last night
1122196426987986944,2019-04-27 17:50:52,"RT @LongBeachMayor: Ready for Beach Streets! Remember to grab a bike, scooter, skateboard and bring the whole family down to Pacific Ave 🚲…"
1122196418410754048,2019-04-27 17:50:50,"RT @thepamilerin: I asked my neighbors children what I should get for them on my way back from work, and they said Scooter 😡 All these Rich…"
1122196366158069765,2019-04-27 17:50:37,RT @Y2SHAF: i'd rather take a razor scooter to the ankle than stand up and tell a room full of people a little bit about myself
1122196326328958976,2019-04-27 17:50:28,@rep89 @SenShilling @ByPatPoblete @SenDarling @wispolitics @GovEvers You should be ashamed of yourself for that mis… https://t.co/m1Dh0trghJ
1122196307303473152,2019-04-27 17:50:23,Socks with a pug riding a scooter.. What was I supposed to do? #Pugmom needs #pugsocks https://t.co/N9F5YyRIA9
1122196262391033856,2019-04-27 17:50:13,"@ItsStillJenJen1 @yookiihyun @hywon_chae Hyungwon so classy~

If it’s Shownu he’d be picking us up with his scooter 😂"
1122196219437223936,2019-04-27 17:50:02,I love a good Trump ralley ❤️ 🇺🇸 https://t.co/xGZ56M5M8e
