id,created_at,text
1111735164462338050,2019-03-29 21:01:32,"b'\xe2\x80\x98Listen it\xe2\x80\x99s 4 pm on a Friday and I\xe2\x80\x99m ready to sleep for days, give me something that\xe2\x80\x99ll mess me up\xe2\x80\x99 - Me in the Starbucks drive through.'"
1111735162579152898,2019-03-29 21:01:32,"b'Reaching peak millennial: sitting in a Starbucks, listening to a podcast, and writing a blog post'"
1111735158623948806,2019-03-29 21:01:31,"b'Starbucks Corp (SBUX) price at close, 2019-03-29, is 74.34.'"
1111735153179541504,2019-03-29 21:01:30,b'I love when someone treats me to @Starbucks \xe2\x98\xba\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd'
1111735133575499779,2019-03-29 21:01:25,b'Archi mignonne mon bb Lona qui m\xe2\x80\x99apporte un Starbucks au taff juste parce que jsuis toute seule \xe2\x9d\xa4\xef\xb8\x8f'
1111735112314613765,2019-03-29 21:01:20,"b'RT @Waquelyn: Starbucks:\n-Uses more than 8,000 paper cups/min\n-Uses more than 4,000,000,000 paper cups/yr\n-Only 1.4% of customers currently\xe2\x80\xa6'"
1111735111937073153,2019-03-29 21:01:20,b'Love coffee? Enter for a chance to #win $25 Starbucks Gift Card US/CAN Ends 3/31 https://t.co/eBJu9ZGAjR https://t.co/NcWrKWTOer'
1111735107122020352,2019-03-29 21:01:19,b'RT @fiorellaamh: Starbucks est\xc3\xa1 sobrevalorado?\n (Hagan RT porfa necesito sacar bastantes resultados con las preguntas que har\xc3\xa9 sobre esto)'
1111735106631168000,2019-03-29 21:01:19,b'10 minutes ago I said \xe2\x80\x9cok so what im not gonna do is spend anymore unnecessary money\xe2\x80\x9d and then my co worker came ov\xe2\x80\xa6 https://t.co/zroQ26VuqI'
1111735106345984000,2019-03-29 21:01:19,b'RT @sxlorenzo: no one: \nme: i\xe2\x80\x99m gonna go get starbucks'
1111735098028650496,2019-03-29 21:01:17,b'RT @kandapik: Untung la umur 16-17 tahun dah pandai order starbucks coffee latte matte with foam bla bla bla. Aku tengok menu starbucks pun\xe2\x80\xa6'
1111735077740802048,2019-03-29 21:01:12,b'@xanhir we don\xe2\x80\x99t get boba anymore we only get iced green tea lattes from starbucks'
1111735067527794688,2019-03-29 21:01:09,b'RT @nancyloaz: No quiero ser negativa pero... la gente por qu\xc3\xa9 le toma foto a los mensajes que les escriben en su vaso de Starbucks? \xc2\xbfSe da\xe2\x80\xa6'
1111735047000915970,2019-03-29 21:01:04,"b'No holdings, just reporting the news. Starbucks Corp (SBUX) price at close, 2019-03-29, is 74.34.'"
1111735027723698176,2019-03-29 21:01:00,b'RT @marisabroffman: There\xe2\x80\x99s nothing like a Starbucks cake pop'
1111735023793827842,2019-03-29 21:00:59,"b'RT @GhostDumaine: Starbucks stop making your employees ask me personal questions at the drive through.\nAnd no, I don\'t have ""exciting plans\xe2\x80\xa6'"
1111734987026546689,2019-03-29 21:00:50,"b'@Starbucks out here getting me hooked on cinnamon cloud macchiato and then running out of ingredients, strike 1. Th\xe2\x80\xa6 https://t.co/eyhsMLicLn'"
1111734962838007810,2019-03-29 21:00:44,b'RT @BagLadysCart: Starbucks Vintage Coffee Canister https://t.co/SbsrOMUvIq via @Etsy \n #Gem2theiVintage.etsy#TEAMvintageusa #MainStreetPro\xe2\x80\xa6'
1111734939530088448,2019-03-29 21:00:39,b'What\xe2\x80\x99s your name?\nDominador.                                     Domina-What?\nJust call me Dom.\xe2\x80\xa6 https://t.co/9jjahx5vRq'
1111734935281295360,2019-03-29 21:00:38,"b""@elveedor41 @AmbJohnBolton @POTUS fuck off American troll. you're an idiot I hope you are cashing your checks fast\xe2\x80\xa6 https://t.co/9vA3fvFzQi"""
1111734924418207745,2019-03-29 21:00:35,"b'RT @SurgunBinbasi: 5. Askerlik mesle\xc4\x9finin eskiden bir ciddiyeti, bir a\xc4\x9f\xc4\xb1rl\xc4\xb1\xc4\x9f\xc4\xb1 vard\xc4\xb1, meydan\xc4\xb1 bo\xc5\x9f bulan Ergenekoncular onun da c\xc4\xb1lk\xc4\xb1n\xc4\xb1 \xc3\xa7\xc4\xb1kar\xe2\x80\xa6'"
1111734906835488768,2019-03-29 21:00:31,b'@TMaulaanaa @hznidahh Both wayang and starbucks mahal. End of discussion.\xf0\x9f\x98\x82'
1111734898400722944,2019-03-29 21:00:29,"b'Want to land a job like ""barista - Store# 08545, WESTON PARKWAY"" at Starbucks? Applicant tracking systems look for\xe2\x80\xa6 https://t.co/ds4K3lzbiH'"
