id,created_at,text,retweet_count
1121201296076361728,2019-04-24 23:56:34,"So @BirdRide what’s your take on your helmet rule? In the month of April in #Atlanta, exactly 0.0% of your thousand… https://t.co/gprAtdcGVb",0
1121193630276956160,2019-04-24 23:26:06,"Really though, what’s your recommendations for parking in a neighborhood, @limebike and @birdride? Can they be on n… https://t.co/GqoboRbQHP",0
1121193545270845440,2019-04-24 23:25:46,stiletto pumps i̶n̶ ̶t̶h̶e̶ ̶c̶l̶u̶b̶ on a @BirdRide cruising down the street,0
1121193507593568256,2019-04-24 23:25:37,Honestly. Feeling old bc I’m legit annoyed a @limebike and @BirdRide are parked on the sidewalk/grass in front of my house.,0
1121193234389061633,2019-04-24 23:24:32,"RT @FastCoIdeas: “We think of @BirdRide as a full-on sustainability company,” says @melindahanson, the company’s head of sustainability.

“…",9
1121190970786234369,2019-04-24 23:15:32,"RT @altaplanning: As dockless electric scooters multiply on city streets, @BirdRide announces it is forming a new transit infrastructure fu…",10
1121185804573904897,2019-04-24 22:55:01,RT @joeei: Learning so much @algolia tonight with a bunch of super smart people from @BirdRide @intercom @madkudu talking about building a…,4
1121185631768440832,2019-04-24 22:54:19,Yo @BirdRide - when you dropping scooters in Minneapolis!?,0
1121180035841318913,2019-04-24 22:32:05,"RT @FastCoIdeas: “We think of @BirdRide as a full-on sustainability company,” says @melindahanson, the company’s head of sustainability.

“…",9
1121175109597835269,2019-04-24 22:12:31,"RT @FastCoIdeas: “We think of @BirdRide as a full-on sustainability company,” says @melindahanson, the company’s head of sustainability.

“…",9
1121174940604981248,2019-04-24 22:11:50,"@helloemil @limebike @LADOTofficial @MikeBoninLA Hi there, thanks for the flag. Our team has been notified and is taking care of this!",0
1121174483145043970,2019-04-24 22:10:01,"“We think of @BirdRide as a full-on sustainability company,” says @melindahanson, the company’s head of sustainabil… https://t.co/2YgMRwV6ub",9
1121174094488072192,2019-04-24 22:08:29,. @BirdRide @limebike Dumped into the Venice canals. Dell Ave @ Sherman canal court A @LADOTofficial @MikeBoninLA https://t.co/yQodTP4GqZ,0
1121173568774078464,2019-04-24 22:06:23,@Mr312 @limebike @BirdRide @janamal Boo. @BirdRide 💪,0
1121171790032584704,2019-04-24 21:59:19,@BirdRide Oops apparently my 1-star review got me a response and a refund right away. Thanks! I’m a little concerne… https://t.co/W7srpzH7EE,0
1121168722410868736,2019-04-24 21:47:08,"@FrancoisJustice Hi Francois, please send us a direct message and our team can help resolve this! 
https://t.co/h3pID4ySQA",0
1121168251742851073,2019-04-24 21:45:16,@PaoloPace Paolo 🙌🙌,0
1121164408984494080,2019-04-24 21:29:59,I’ve been converted on this trip. @limebike &gt; @BirdRide. Bigger. Faster. Stronger. #scooterwars (sorry @janamal I’m… https://t.co/iP7pTY55M0,1
1121161421906165760,2019-04-24 21:18:07,"RT @BirdRide: “The deeper I get into transportation, the more I realize we don’t need autonomous vehicles, we don’t need tunnels, all we re…",46
1121159722684469248,2019-04-24 21:11:22,RT @bruinengineer: Congrats to @Uber but more bullish on @BirdRide and @travisv 🚶 ....🎤,1394
1121158768165707778,2019-04-24 21:07:35,"Why thank you, @BirdRide You should see me parallel park. https://t.co/KeSLA2ZZ3d",0
1121158322974011392,2019-04-24 21:05:48,@meiry92 @Parisjecoute Il faut mettre @BirdRide face à ses responsabilités en interpelant ses dirigeants en France… https://t.co/7vKzbJF4ur,2
1121158066576285697,2019-04-24 21:04:47,@BikeGillian @lyft @BirdRide Think of the neighborhood list serves you could light up if you rode that around,0
1121156038340698112,2019-04-24 20:56:44,@BirdRide hi guys! You charged me $1 plus 2 minutes time for a scooter I rode 1 block but got off because it was sl… https://t.co/VfPHWAFwwg,0
1121153079112552448,2019-04-24 20:44:58,RT @joeei: Learning so much @algolia tonight with a bunch of super smart people from @BirdRide @intercom @madkudu talking about building a…,4
1121152442106667008,2019-04-24 20:42:26,"#TheEndIsNigh

designate #scooter parking zones. scooter riders and companies will only be able to park devices in… https://t.co/m7jXwgtJdr",0
1121152006700199937,2019-04-24 20:40:43,"#TheEndIsNigh

#Scooter companies will be required to use #geofencing #technology on their #scooters to limit speed… https://t.co/REclVS7dN7",0
1121151778739773440,2019-04-24 20:39:48,"#TheEndIsNigh

limit the speed of dockless #scooters from 15 mph to 8 mph in high-traffic areas like Spanish landin… https://t.co/VGiUPPYQhi",0
1121139127121063936,2019-04-24 19:49:32,It seems to me that @BirdRide is loosing the scooter wars in #Baltimore question is was that a conscious decision i… https://t.co/50BXQl4UJM,0
1121137738512625664,2019-04-24 19:44:01,RT @melindahanson: @BirdRide is making our rides even greener through purchasing offsets and RECs--and we're just getting started. Great ta…,1
1121129677991628801,2019-04-24 19:11:59,RT @joeei: Learning so much @algolia tonight with a bunch of super smart people from @BirdRide @intercom @madkudu talking about building a…,4
1121128129542549504,2019-04-24 19:05:50,"@mcowger Hi Matt, thanks for bringing this to our attention. Our team has been notified and they're on their way!",0
1121125024843227136,2019-04-24 18:53:30,Hey @BirdRide - somehow one of your machines is on the platform at BART rockridge. https://t.co/D9r0fdM3P0,0
1121122736837943296,2019-04-24 18:44:24,RT @joeei: Learning so much @algolia tonight with a bunch of super smart people from @BirdRide @intercom @madkudu talking about building a…,4
1121122560652009474,2019-04-24 18:43:42,Learning so much @algolia tonight with a bunch of super smart people from @BirdRide @intercom @madkudu talking abou… https://t.co/8AH34U1JMj,4
