id,created_at,text,retweet_count
1121201906733309952,2019-04-24 23:59:00,@dhinchcliffe @limebike @tobysun @guyraz @SlackHQ @beardigsit @hjackson_10 @KendallAtWork Thank you 🙏- loved the story 👏,0
1121201887800246272,2019-04-24 23:58:55,"Startup #ProTips via #CEO @limebike, @tobysun, @guyraz reveals his backstory  @slackhq  #WhatsNext #Lime says creat… https://t.co/jVe4YKvdAH",0
1121200702234087424,2019-04-24 23:54:12,"Slack helps us to maintain a global company culture, in over 100 markets. @tobysun Founder of @limebike #frontiers… https://t.co/0w6julP1SX",0
1121200566082752512,2019-04-24 23:53:40,"So cool to see @guyraz do his thing live interviewing @tobysun, CEO/Co-founder of @limebike #SlackFrontiers… https://t.co/fsnQNm5THK",0
1121200532792729601,2019-04-24 23:53:32,"@noahlz @limebike @CityofHoboken Good, please do tell the city! They need to know where it’s necessary to paint ded… https://t.co/wpNVNJ2x8J",0
1121200006231396355,2019-04-24 23:51:27,@guyraz joined by @limebike CEO @tobysun talking about global #innovation #collaboration at #SlackFrontiers https://t.co/NYQTB8hz6B,0
1121199588273078273,2019-04-24 23:49:47,MyPOV: i often see these @limebike parked in the air. @SlackHQ @stewart #SlackFrontiers https://t.co/wRFlviquMg,0
1121199381376454657,2019-04-24 23:48:58,"""The virtual distance in #Slack is a lot shorter than it is with e-mail."" - @tobysun, #CEO and co-founder of @limebike.
#slackfrontiers",0
1121199359574413313,2019-04-24 23:48:52,"RT @dhinchcliffe: Talking with the #CEO + co-founder of @limebike, @tobysun, @guyraz teases out his @slackhq story. Namely, they use it to…",2
1121199345083150338,2019-04-24 23:48:49,How They Built This: They are only 2 years old and @limebike CEO tells @guyraz they‘be gone from 5 people to 700 si… https://t.co/k6SqFRk757,2
1121199182788866049,2019-04-24 23:48:10,Tous les soirs/Toutes les nuits les alarmes des trottinettes électriques type @limebike sonnent pendant de longues… https://t.co/SHGWxHPBws,0
1121199078660960257,2019-04-24 23:47:45,"RT @ray_raycaitlin: @limebike this is unacceptable. I have a disability and could not use the ramp outside the @uofl @UofLbiz building, and…",15
1121199047597932544,2019-04-24 23:47:38,"Talking with the #CEO + co-founder of @limebike, @tobysun, @guyraz teases out his @slackhq story. Namely, they use… https://t.co/Ru6YCWyHxE",2
1121198771885490176,2019-04-24 23:46:32,"So @_LimeAID @limebike what’s your take on your helmet rule? In the month of April in #Atlanta, exactly 0.0% of you… https://t.co/VTlUrilnjk",0
1121198300064043008,2019-04-24 23:44:40,@CityofHoboken is launching @limebike scooters &amp; giving residents and visitors transportation options and reducing… https://t.co/hGkZlFsiES,0
1121198166257233920,2019-04-24 23:44:08,#SlackFrontiers Day one closing keynotes kickoff with @guyraz @tobysun @limebike https://t.co/a1wCw0xYye,0
1121198020278636545,2019-04-24 23:43:33,@guyraz takes the stage here at #SlackFrontiers - talking next with Toby Sun of @limebike - using smart bike statio… https://t.co/4KUjgGRVRz,0
1121197038987665408,2019-04-24 23:39:39,"Continuing a gratifying event-long theme of telling customer stories, @guyraz cues up some interesting company case… https://t.co/v3ycs27LoY",0
1121196758611021824,2019-04-24 23:38:32,"MyPOV: @tobysun @limebike sharing his story @SlackHQ #SlackFrontiers 

His big idea was solving transit and mobilit… https://t.co/Wbcj91pDPO",0
1121196001950351362,2019-04-24 23:35:32,"RT @ray_raycaitlin: Not all wheelchairs can make this clearance, @limebike. Why are you taking up 60% of the sidewalk here? Why is the city…",9
1121195781355114496,2019-04-24 23:34:39,"RT @ray_raycaitlin: @limebike this is unacceptable. I have a disability and could not use the ramp outside the @uofl @UofLbiz building, and…",15
1121193630276956160,2019-04-24 23:26:06,"Really though, what’s your recommendations for parking in a neighborhood, @limebike and @birdride? Can they be on n… https://t.co/GqoboRbQHP",0
1121193507593568256,2019-04-24 23:25:37,Honestly. Feeling old bc I’m legit annoyed a @limebike and @BirdRide are parked on the sidewalk/grass in front of my house.,0
1121191838725971968,2019-04-24 23:18:59,"This legislation, when passed, will be a major step forward for New York toward a fairer transportation system and… https://t.co/nFN3YAJ57Y",1
1121191133340741633,2019-04-24 23:16:11,@UToledo @limebike not like hundreds of students walk along here a day.  The convenience of that one person is clea… https://t.co/EAiFzweuFj,0
1121189302149505024,2019-04-24 23:08:54,I guess parking it near the other two out of the way was just too inconvenient.  @limebike @UToledo (outside mcmast… https://t.co/RhAIIfKGlT,0
1121189068119785472,2019-04-24 23:07:59,@JohnWoodell @limebike @BMW @fiat @plugshare @evgonetwork @ClipperCreek Awesome! E-scooters make charging with @ev_match even easier!,0
1121188637423603720,2019-04-24 23:06:16,"@BikeHoboken @limebike @CityofHoboken No, if someone dumps two or three scooters on the sidewalk outside my residen… https://t.co/sUxbKuoosk",0
1121188558826627074,2019-04-24 23:05:57,@noahlz @BadHoboken @BikeHoboken @limebike @CityofHoboken I also heard from my postman that they’re pulling a lot o… https://t.co/icJ95or6Ed,0
1121188081988587520,2019-04-24 23:04:04,"I recently used a @limebike e-scooter to retrieve my car; that was fun. Sadly, we just sold our @BMW i3 to make roo… https://t.co/pJKxKdW7Ox",0
1121187671957823490,2019-04-24 23:02:26,"RT @ray_raycaitlin: @limebike this is unacceptable. I have a disability and could not use the ramp outside the @uofl @UofLbiz building, and…",15
1121187373684023296,2019-04-24 23:01:15,@monsieurqueno @limebike C'est pour quand a Montréal ?,0
1121186015752937473,2019-04-24 22:55:51,@BadHoboken @BikeHoboken @limebike @CityofHoboken That is what I heard from a cabbie in Austin. They pull a lot of… https://t.co/XsVPSztGyc,0
1121185751717122049,2019-04-24 22:54:48,Yo @limebike - when you dropping scooters in Minneapolis?,1
1121185744570261505,2019-04-24 22:54:46,@limebike in Montréal i see the Bike but impossible to found it !! https://t.co/O4OyO8KqYh,0
1121182819458351105,2019-04-24 22:43:09,"RT @FOTCA_MX: Hoy tuvimos el honor de estar en diálogo de movilidad sustentable  organizado por @limebike, muy buen evento. https://t.co/zY…",5
1121182758343102465,2019-04-24 22:42:54,U ever wonder if you get the same limebike as last time,0
1121178803710115840,2019-04-24 22:27:11,What a mess. Just wait until the scooters pile up @JerseyBike @BikeHoboken @limebike @mike_defusco @HobokenPD @hMAG… https://t.co/sJfkygxyqc,0
1121177476544258048,2019-04-24 22:21:55,"@uyEcos Trabajar a través de @ManpowerGroupUY es perfectamente legal.

Seguramente @grin_uy puede explicarnos.

Est… https://t.co/03HXwhG25E",0
1121176624261627905,2019-04-24 22:18:32,@limebike https://t.co/ck6g2QwKSL,0
1121176566669692929,2019-04-24 22:18:18,"RT @ray_raycaitlin: @limebike this is unacceptable. I have a disability and could not use the ramp outside the @uofl @UofLbiz building, and…",15
1121176228185214976,2019-04-24 22:16:57,"RT @ray_raycaitlin: @limebike this is unacceptable. I have a disability and could not use the ramp outside the @uofl @UofLbiz building, and…",15
1121174940604981248,2019-04-24 22:11:50,"@helloemil @limebike @LADOTofficial @MikeBoninLA Hi there, thanks for the flag. Our team has been notified and is taking care of this!",0
1121174094488072192,2019-04-24 22:08:29,. @BirdRide @limebike Dumped into the Venice canals. Dell Ave @ Sherman canal court A @LADOTofficial @MikeBoninLA https://t.co/yQodTP4GqZ,0
1121173969179238413,2019-04-24 22:07:59,@limebike But what about coming back to east lansing in Michigan?,0
1121173568774078464,2019-04-24 22:06:23,@Mr312 @limebike @BirdRide @janamal Boo. @BirdRide 💪,0
1121173405779124224,2019-04-24 22:05:44,We loved spending time in #Boston today! https://t.co/1grCVttDem,2
1121172654445056000,2019-04-24 22:02:45,"RT @FOTCA_MX: Hoy tuvimos el honor de estar en diálogo de movilidad sustentable  organizado por @limebike, muy buen evento. https://t.co/zY…",5
1121171560910528512,2019-04-24 21:58:25,Awesome presentation by Jeremy and our partners at @utaustinparking #TPTA2019 @TEXASPARKING @UTAustin @limebike https://t.co/j81SmQo9xT,0
1121171437983866880,2019-04-24 21:57:55,15 min cycle home from work (Leicester Square - Pimlico) on @limebike electric cycle hire costs nearly 50% MORE tha… https://t.co/z0fncDVTGM,0
1121169590573158400,2019-04-24 21:50:35,"RT @FabianLadda: Whoop Whoop! Danke @focusonline für die HONORABLE MENTION 2019 an @limebike in der Kategorie ""Electricity"" für Ideen, Prod…",1
1121168550134108167,2019-04-24 21:46:27,"Approximately 4 hours later, that single stretch of block was devoid of any people or items (except for a couple of… https://t.co/v7CEG59Vog",0
1121166584679157760,2019-04-24 21:38:38,@selaam_d @theresedapriest @limebike check ur venmo sel,0
1121166181619126273,2019-04-24 21:37:02,RT @selaam_d: @theresedapriest @oliviagalyon27 @limebike STL hoes @limebike music video shoot summer 19 😫😤🥵🥶,1
1121166159636774913,2019-04-24 21:36:57,@selaam_d @oliviagalyon27 @limebike that is wholesome content i would LOVE to see,0
1121166132625444865,2019-04-24 21:36:50,@theresedapriest @oliviagalyon27 @limebike STL hoes @limebike music video shoot summer 19 😫😤🥵🥶,1
