id,created_at,text,retweet_count
1121164786119483392,2019-04-24 21:31:29,"What a great day, shooting range (I've got awful aim it turns out) and tried an Uber scooter.. I love you Nashville… https://t.co/p2QvqWp975",1
1121158882682920960,2019-04-24 21:08:02,"Formas de ser un infante de por vida: Uber, patineta, Airbnb, Facebook, IA https://t.co/t7ir8MSZkF",0
1121133784097787904,2019-04-24 19:28:18,"Deliver with Uber in Japan.
Your vehicle, your time.
Grab your bike or scooter, then deliver whenever you want—for… https://t.co/b5vqaleYD5",0
1121113076168839169,2019-04-24 18:06:01,"Happy that today is the last day of classes. 
Sad that I didn’t see anybody fall on those Uber scooter things all semester.",0
1121110665006071808,2019-04-24 17:56:26,"Uber Rival Rebrands, Expands to New Markets in Europe and Africa  Transitions Online The startup-friendly climate i… https://t.co/NJsp4Xt3oC",0
1121109884148297730,2019-04-24 17:53:20,I went on a endless chase for the scooter that I reserved and it Keira moving/ finally leading me to an empty lot.… https://t.co/jrfb9RU9dD,0
1121073979022876674,2019-04-24 15:30:39,@eamkaled serious lah hanat naik uber scooter hahahahah,0
1121063078983086080,2019-04-24 14:47:21,@JahnaMikels I only saw parts of it driving by. I know when I scooter down to it ( not paying Uber prices &amp; my comp… https://t.co/3PX2MPS6Rm,0
1121051672711712769,2019-04-24 14:02:01,How can scooter-sharing companies kick unprofitability and make sense as a viable @mobility option? @verge navigate… https://t.co/TF0t9Fesx3,0
1121042595503910913,2019-04-24 13:25:57,"@BluegrassCap Centralizing booking of all modes of urban mobility (car, bike, scooter, public transit) at zero marg… https://t.co/JXXAdmKCiW",0
1120972733272272897,2019-04-24 08:48:20,"RT @TurnerNovak: Uber also has another edge: booking different mobility solutions (car, bike, scooter, public transit, etc) through one app…",6
1120934340395819009,2019-04-24 06:15:47,When you accidentally hit someone while whipping an @Uber scooter https://t.co/kZWff49bma,0
1120888395851534337,2019-04-24 03:13:13,"Deliver with Uber in Japan.
Your vehicle, your time.
Grab your bike or scooter, then deliver whenever you want—for… https://t.co/IB03ngMwBy",0
1120884095406485505,2019-04-24 02:56:08,@ValeSinFiltro No sé...de hecho cobran 100 pesos el minuto...en micro demoró en llegar a destino 15 minutos...(500… https://t.co/FoqTcFj3G5,0
1120883811577999360,2019-04-24 02:55:00,Used my uber account to rent a jump scooter and man they are fast!,0
1120880407799582721,2019-04-24 02:41:28,"There’s only a few years, platforms and commonly used — and the wall to shoot your future of socialism over capital… https://t.co/nuPu3PunxE",0
1120846412877451264,2019-04-24 00:26:23,"Why's public at times shocked w/ all the anger in USA ??  Ppl spend shrinking paychecks on stuff (Uber's, scooter r… https://t.co/lPua2rmcXP",0
1120839988042592256,2019-04-24 00:00:52,@portlandmercury Hell ya. When they did the scooter pilot last year there was a big drop in Uber/lyft cars throwing… https://t.co/20kUbGPgdQ,0
